frasa,label
badak api,frasa biasa
bah jantan,frasa biasa
bahan acuan,frasa biasa
bahan bakar,frasa biasa
bahan baku,frasa biasa
bahan celana,frasa biasa
bahan cerita,frasa biasa
bahan cetak,frasa biasa
bahan dasar,frasa biasa
bahan diskusi,frasa biasa
bahan film,frasa biasa
bahan jadi,frasa biasa
bahan kartografi,frasa biasa
bahan kelabu,frasa biasa
bahan makanan,frasa biasa
bahan mentah,frasa biasa
bahan murni,frasa biasa
bahan organik,frasa biasa
bahan pakai,frasa biasa
bahan pakaian,frasa biasa
bahan pegangan,frasa biasa
bahan pelajaran,frasa biasa
bahan peledak,frasa biasa
bahan pelumas,frasa biasa
bahan pembicaraan,frasa biasa
bahan pemeriksaan,frasa biasa
bahan pemikiran,frasa biasa
bahan pengajaran,frasa biasa
bahan pengawet,frasa biasa
bahan pengering,frasa biasa
bahan periklanan,frasa biasa
bahan pertimbangan,frasa biasa
baik hati,frasa idiom
baja beton,frasa biasa
baja kandang,frasa biasa
bajak laut,frasa biasa
bajak singkat,frasa biasa
baji kuku,frasa biasa
bajing loncat,frasa biasa
baju besi,frasa biasa
baku hantam,frasa biasa
bambu duri,frasa biasa
bambu kuning,frasa biasa
banjir bandang,frasa biasa
basah kuyup,frasa biasa
batang air,frasa biasa
batu loncatan,frasa idiom
batu merah,frasa biasa
belahan jiwa,frasa idiom
benang kusut,frasa idiom
benang merah,frasa idiom
benang putih,frasa biasa
berat lidah,frasa idiom
berat mata,frasa idiom
berat tangan,frasa idiom
berita burung,frasa idiom
berita duka,frasa biasa
besar lengan,frasa idiom
besar perut,frasa idiom
besar kepala,frasa idiom
biang keladi,frasa idiom
biang keringat,frasa biasa
buah baju,frasa biasa
buah bibir,frasa idiom
buah dada,frasa biasa
buah hati,frasa idiom
buah pena,frasa idiom
buah pikiran,frasa idiom
buaya darat,frasa idiom
buku besar,frasa biasa
buku biru,frasa biasa
buku gambar,frasa biasa
buku hitam,frasa idiom
buku kuning,frasa biasa
buku putih,frasa idiom
buku tahunan,frasa biasa
buku tamu,frasa biasa
berbulan madu,frasa idiom
bulan mati,frasa idiom
bunga jantan,frasa biasa
bunga karang,frasa biasa
bunga desa,frasa idiom
bunga hati,frasa biasa
busuk hati,frasa idiom
cepat lidah,frasa idiom
cepat mulut,frasa idiom
cepat tangan,frasa idiom
daftar hadir,frasa biasa
daftar hitam,frasa idiom
daftar isi,frasa biasa
daftar putih,frasa biasa
darah biru,frasa idiom
darah daging,frasa idiom
darah dingin,frasa idiom
gadis kecil,frasa biasa
gaji buta,frasa idiom
garis bawah,frasa biasa
gelap gulita,frasa biasa
gelap mata,frasa idiom
habis akal,frasa idiom
hamil muda,frasa biasa
hamil tua,frasa biasa
harga diri,frasa idiom
hati kecil,frasa idiom
hijau daun,frasa biasa
hilang akal,frasa idiom
ilmu hitam,frasa idiom
jago merah,frasa idiom
jaket kulit,frasa biasa
jalan belakang,frasa idiom
jalan buntu,frasa idiom
jalan cepat,frasa biasa
jalan damai,frasa biasa
jalan darat,frasa biasa
jalan gelap,frasa idiom
jalan hidup,frasa biasa
jalan keluar,frasa idiom
jalan pikiran,frasa idiom
jalan pintas,frasa idiom
jalan tikus,frasa idiom
jam tangan,frasa biasa
janur kuning,frasa biasa
jantung hati,frasa idiom
jantung kota,frasa idiom
jas hujan,frasa biasa
jati diri,frasa biasa
jerih payah,frasa biasa
jenis kelamin,frasa biasa
jenjang pendidikan,frasa biasa
kabar angin,frasa idiom
kabar baik,frasa biasa
kabar buruk,frasa biasa
kabar burung,frasa idiom
kabar duka,frasa biasa
kabar gembira,frasa biasa
kabar sedih,frasa biasa
kabut hitam,frasa biasa
kaki seribu,frasa idiom
kaki tangan,frasa idiom
kaki telanjang,frasa biasa
kambing hitam,frasa idiom
kantor polisi,frasa biasa
kantor pos,frasa biasa
kantor pusat,frasa biasa
kawin lari,frasa idiom
kembang desa,frasa idiom
kepala batu,frasa idiom
kepala desa,frasa biasa
kepala dingin,frasa idiom
keras hati,frasa idiom
keras kepala,frasa idiom
kotak hitam,frasa biasa
kotak suara,frasa biasa
kotak surat,frasa biasa
kuda hitam,frasa idiom
kuda laut,frasa biasa
kuping tebal,frasa idiom
kurang ajar,frasa idiom
kurang akal,frasa idiom
kutu buku,frasa idiom
lampu merah,frasa idiom
lapang dada,frasa idiom
lapang hati,frasa idiom
lemari es,frasa biasa
lepas tangan,frasa idiom
liang kubur,frasa biasa
lidah api,frasa idiom
lintah darat,frasa idiom
lupa daratan,frasa idiom
lupa diri,frasa idiom
kelinci percobaan,frasa idiom
mabuk darat,frasa biasa
main mata,frasa idiom
masa lalu,frasa biasa
masa tua,frasa biasa
masih hijau,frasa idiom
masuk akal,frasa idiom
masuk angin,frasa idiom
mata angin,frasa idiom
mata duitan,frasa idiom
mata hati,frasa idiom
mata keranjang,frasa idiom
mata sapi,frasa idiom
mata pencaharian,frasa idiom
meja hijau,frasa idiom
merah darah,frasa idiom
merah delima,frasa biasa
merah hati,frasa biasa
merah muka,frasa idiom
muka badak,frasa idiom
muka bantal,frasa biasa
muka kecut,frasa biasa
muka manis,frasa idiom
muka masam,frasa idiom
muka tebal,frasa idiom
mulut harimau,frasa idiom
mulut manis,frasa idiom
murah hati,frasa idiom
murah mulut,frasa idiom
murah senyum,frasa idiom
murah tangan,frasa idiom
naik daun,frasa idiom
naik darah,frasa idiom
naik pitam,frasa idiom
orang hutan,frasa biasa
orang kampung,frasa biasa
orang kaya,frasa biasa
otak encer,frasa idiom
otak miring,frasa idiom
otak udang,frasa idiom
padang rumput,frasa biasa
panas bumi,frasa biasa
panas hati,frasa idiom
panjang akal,frasa idiom
panjang hati,frasa biasa
panjang lebar,frasa idiom
panjang lidah,frasa idiom
panjang leher,frasa idiom
panjang mulut,frasa idiom
panjang napas,frasa biasa
panjang pikiran,frasa idiom
panjang tangan,frasa idiom
pasang surut,frasa idiom
pasar gelap,frasa idiom
patah lidah,frasa idiom
patah arang,frasa idiom
patah hati,frasa idiom
pelita hati,frasa idiom
perang dingin,frasa idiom
perut besar,frasa biasa
perut kosong,frasa idiom
rabun jauh,frasa biasa
rabun senja,frasa biasa
raja hutan,frasa biasa
rakyat jelata,frasa biasa
rendah budi,frasa idiom
rendah diri,frasa idiom
rendah hati,frasa idiom
riang gembira,frasa biasa
riang hati,frasa biasa
ringan tangan,frasa idiom
sahabat dekat,frasa biasa
sakit jiwa,frasa biasa
saksi kunci,frasa biasa
saksi mata,frasa idiom
saksi palsu,frasa biasa
salah jalan,frasa idiom
salah langkah,frasa idiom
sepeda motor,frasa biasa
sepenuh hati,frasa biasa
tabah hati,frasa idiom
tahan air,frasa biasa
tahan api,frasa biasa
tahan banting,frasa idiom
tahun baru,frasa biasa
taman hiburan,frasa biasa
tanah air,frasa idiom
tebal hati,frasa idiom
tikus kantor,frasa idiom
tinggi hati,frasa idiom
tulang punggung,frasa idiom
turun tangan,frasa idiom
turun tangga,frasa idiom
tutup usia,frasa idiom
uang hilang,frasa idiom
uang jajan,frasa biasa
uang muka,frasa idiom
uang panas,frasa idiom
uang saku,frasa idiom
udara bersih,frasa biasa
udara dingin,frasa biasa
wisata alam,frasa biasa
wisata bahari,frasa biasa
wisata budaya,frasa biasa
berat hati,frasa idiom
besar hati,frasa idiom
besar kepala,frasa idiom
besar mulut,frasa idiom
buta hati,frasa idiom
hijau daun,frasa biasa
hilang ingatan,frasa idiom
hitam putih,frasa idiom
iri hati,frasa biasa
kecil hati,frasa idiom
masa bodoh,frasa biasa
pukul rata,frasa idiom
susah hati,frasa biasa
susah payah,frasa biasa
basah kuyup,frasa biasa
cerah ceria,frasa biasa
gagah berani,frasa biasa
gelap gulita,frasa biasa
kering kerontang,frasa biasa
kosong melompong,frasa biasa
lemah gemulai,frasa biasa
sunyi senyap,frasa biasa
beranak cucu,frasa idiom
angkat bicara,frasa idiom
angkat kaki,frasa idiom
angkat tangan,frasa idiom
angkat topi,frasa idiom
berbadan dua,frasa idiom
membalas dendam,frasa biasa
balas dendam,frasa biasa
banting tulang,frasa idiom
berbatuk darah,frasa biasa
bebas tugas,frasa biasa
beradu kening,frasa idiom
beradu lengan,frasa idiom
beradu lidah,frasa idiom
beradu mulut,frasa idiom
berbalik hati,frasa idiom
berbalik muka,frasa idiom
berbalik pulang,frasa biasa
berbantal lengan,frasa idiom
berdarah panas,frasa idiom
berdarah jernih,frasa biasa
berdarah muda,frasa idiom
berdarah panas,frasa idiom
berdarah seni,frasa biasa
berdekap tangan,frasa biasa
berdiri tegak,frasa biasa
bergandeng tangan,frasa biasa
berhati busuk,frasa biasa
berhati emas,frasa idiom
berhati keras,frasa idiom
berjalan kaki,frasa biasa
bermain akal,frasa idiom
bermain api,frasa idiom
bermuka dinding,frasa idiom
bermuka dua,frasa idiom
bermulut besar,frasa idiom
bermuka tembok,frasa idiom
berpangku tangan,frasa idiom
bersatu hati,frasa idiom
berserah diri,frasa biasa
campur aduk,frasa biasa
cuci otak,frasa idiom
cuci tangan,frasa idiom
bercocok tanam,frasa biasa
berdarah biru,frasa idiom
berdarah dingin,frasa idiom
berdarah putih,frasa idiom
bergembira ria,frasa biasa
gotong royong,frasa biasa
bergurau senda,frasa biasa
hujan angin,frasa biasa
hujan panas,frasa idiom
berjabat tangan,frasa biasa
membanting setir,frasa idiom
membanting tulang,frasa idiom
membuang angin,frasa idiom
membuang muka,frasa idiom
menahan hati,frasa idiom
memutar otak,frasa idiom
menarik hati,frasa idiom
menaruh hati,frasa idiom
menaruh malu,frasa biasa
menaruh pikiran,frasa idiom
menaruh rindu,frasa biasa
mencari lawan,frasa biasa
mencari makan,frasa idiom
mencari muka,frasa idiom
mencari nafkah,frasa biasa
mencari tahu,frasa biasa
mencari uang,frasa biasa
mencari untung,frasa biasa
mendua hati,frasa idiom
mencium tanah,frasa idiom
mengambil jalan,frasa biasa
mengambil keputusan,frasa biasa
mengambil kesempatan,frasa biasa
mengganggu pikiran,frasa idiom
mengikat hati,frasa idiom
mengikat janji,frasa idiom
berputih tulang,frasa idiom
menjaga diri,frasa idiom
menjaga hati,frasa idiom
menjilat ludah,frasa idiom
menutup mata,frasa idiom
menusuk hati,frasa idiom
bermuka manis,frasa idiom
bermulut manis,frasa idiom
naik turun,frasa biasa
naik kelas,frasa biasa
berputih tulang,frasa idiom
putar balik,frasa idiom
pindah tangan,frasa idiom
pindah tugas,frasa biasa
bertangan besi,frasa idiom
bertangan kosong,frasa idiom
bertanggung jawab,frasa biasa
bertepuk tangan,frasa biasa
bertekuk lutut,frasa idiom
akal bulus,frasa idiom
anak ubi,frasa idiom
anak buah,frasa idiom
anak emas,frasa idiom
angkat bicara,frasa idiom
angkat kaki,frasa idiom
angkat tangan,frasa idiom
angkat topi,frasa idiom
aral melintang,frasa biasa
babi buta,frasa idiom
badan dua,frasa idiom
banting tulang,frasa idiom
berat hati,frasa idiom
berat sebelah,frasa idiom
besar hati,frasa idiom
besar kepala,frasa idiom
besar mulut,frasa idiom
biang keladi,frasa idiom
buah bibir,frasa idiom
buah dada,frasa biasa
buah pelir,frasa biasa
buah tangan,frasa idiom
buaya darat,frasa idiom
buku biru,frasa biasa
buku putih,frasa idiom
buta hati,frasa idiom
cari muka,frasa idiom
campur tangan,frasa idiom
cuci otak,frasa idiom
cuci tangan,frasa idiom
daftar hitam,frasa idiom
darah biru,frasa idiom
darah daging,frasa idiom
darah dingin,frasa idiom
darah putih,frasa idiom
emas hitam,frasa biasa
gelap mata,frasa idiom
gigit jari,frasa idiom
gulung tikar,frasa idiom
haus darah,frasa biasa
hidung belang,frasa idiom
hukum rimba,frasa idiom
jaga mulut,frasa idiom
jago merah,frasa idiom
jalan pintas,frasa idiom
jiwa besar,frasa biasa
kabar angin,frasa idiom
kaki tangan,frasa idiom
kambing hitam,frasa idiom
kecil hati,frasa idiom
kelinci percobaan,frasa idiom
kepala batu,frasa idiom
kepala dingin,frasa idiom
kepala dua,frasa idiom
kepala udang,frasa idiom
keras kepala,frasa idiom
kuli tinta,frasa biasa
kutu buku,frasa idiom
kutu loncat,frasa biasa
lapang dada,frasa idiom
lapangan hijau,frasa idiom
lebar mulut,frasa idiom
lepas tangan,frasa idiom
lintah darat,frasa idiom
lupa daratan,frasa idiom
lupa diri,frasa idiom
macan ompong,frasa idiom
main mata,frasa idiom
main tangan,frasa biasa
mata keranjang,frasa idiom
meja hijau,frasa idiom
muka dua,frasa idiom
muka badak,frasa idiom
muka dinding,frasa idiom
muka tebal,frasa idiom
mulut besar,frasa idiom
mulut harimau,frasa idiom
mulut manis,frasa idiom
murah hati,frasa idiom
naik darah,frasa idiom
naik daun,frasa idiom
naik pitam,frasa idiom
omong kosong,frasa idiom
orang jauh,frasa biasa
otak kalkulator,frasa biasa
otak udang,frasa idiom
pangku tangan,frasa idiom
panjang tangan,frasa idiom
panjang umur,frasa idiom
penghisap darah,frasa biasa
pengacara hitam,frasa biasa
peti es,frasa idiom
putih mata,frasa idiom
rendah hati,frasa idiom
ringan tangan,frasa idiom
sakit hati,frasa idiom
sapi perahan,frasa idiom
sebatang kara,frasa idiom
silat lidah,frasa idiom
tahan banting,frasa idiom
tangan besi,frasa idiom
tangan kanan,frasa idiom
tebal hati,frasa idiom
tinggi hati,frasa idiom
tukar guling,frasa idiom
tutup mulut,frasa idiom
tutup usia,frasa idiom
turun tangan,frasa idiom
ujung tombak,frasa idiom
unjuk rasa,frasa idiom
uang panas,frasa idiom
unjuk gigi,frasa idiom
Adu Mulut,frasa idiom
Akal Bulus,frasa idiom
Ambang Pintu,frasa idiom
Anak Bawang,frasa idiom
Anak Buah,frasa idiom
Anak Emas,frasa idiom
anak tunggal,frasa biasa
Angkat Bicara,frasa idiom
Angkat Kaki,frasa idiom
Angkat Tangan,frasa idiom
Angkat Topi,frasa idiom
Aral Melintang,frasa biasa
Asam Garam,frasa idiom
Awan Hitam,frasa biasa
Awan Kelabu,frasa biasa
Banting Tulang,frasa idiom
Banyak Mulut,frasa idiom
Batu Loncatan,frasa idiom
Bau Kencur,frasa idiom
Benang Kusut,frasa idiom
Benang Merah,frasa idiom
Bengkok Hati,frasa idiom
Berat Hati,frasa idiom
Berat Sebelah,frasa idiom
Berbadan Dua,frasa idiom
Berbunga Bunga,frasa biasa
Berdarah Dingin,frasa idiom
Bermuka Dua,frasa idiom
Berpangku Tangan,frasa idiom
Bersilat Lidah,frasa idiom
Besar Hati,frasa idiom
Besar Kepala,frasa idiom
Besar Mulut,frasa idiom
Biang Keladi,frasa idiom
Bintang Kelas,frasa idiom
Bogem Mentah,frasa idiom
Buah Bibir,frasa idiom
Buah Hati,frasa idiom
Buah Pena,frasa idiom
Buah Pikiran,frasa idiom
Buah Tangan,frasa idiom
Buku Putih,frasa idiom
Bunga Desa,frasa idiom
Bunga Tidur,frasa idiom
Buta Hati,frasa idiom
Campur Tangan,frasa idiom
Cari Muka,frasa idiom
Cepat Kaki,frasa idiom
Cepat Mulut,frasa idiom
Cuci Mata,frasa idiom
Cuci Otak,frasa idiom
Cuci Tangan,frasa idiom
Darah Biru,frasa idiom
Darah Daging,frasa idiom
Darah Dingin,frasa idiom
Debat Kusir,frasa idiom
Demam Panggung,frasa idiom
daun muda,frasa idiom
dekat senja,frasa idiom
Ujung Tanduk,frasa idiom
Emas Biru,frasa biasa
Emas Hijau,frasa biasa
Emas Hitam,frasa biasa
Empat Mata,frasa idiom
Enteng Tangan,frasa idiom
Gaji Buta,frasa idiom
Gantung Raket,frasa biasa
Gantung Sepatu,frasa idiom
Gelap Mata,frasa idiom
Gigit Jari,frasa idiom
Gila Hormat,frasa idiom
Gulung Tikar,frasa idiom
Hampa Tangan,frasa idiom
Harga Mati,frasa idiom
Hati Besar,frasa biasa
Haus Darah,frasa biasa
Hidung Belang,frasa idiom
Hotel Prodeo,frasa idiom
Hukum Rimba,frasa idiom
Jaga Mulut,frasa idiom
Jago Kandang,frasa idiom
Jago Merah,frasa idiom
Jatuh Bangun,frasa idiom
Jatuh Hati,frasa idiom
Jiwa Besar,frasa biasa
Kabar Angin,frasa idiom
Kaki Tangan,frasa idiom
Kambing Hitam,frasa idiom
Kebakaran Jenggot,frasa idiom
Kecil Hati,frasa idiom
Kejatuhan Bulan,frasa biasa
Kelinci Percobaan,frasa idiom
Kepala Batu,frasa idiom
Kepala Dingin,frasa idiom
Kepala Dua,frasa idiom
Kepala Keluarga,frasa biasa
Kepala Udang,frasa idiom
Keras Hati,frasa idiom
Keras Kepala,frasa idiom
Kuda Besi,frasa idiom
Kuda Hitam,frasa idiom
Kulit Badak,frasa idiom
Kutu Buku,frasa idiom
Kutu Loncat,frasa idiom
Langkah Seribu,frasa idiom
Lapang Dada,frasa idiom
Lapangan Hijau,frasa idiom
Lebar Mulut,frasa idiom
Leher Panjang,frasa idiom
Lempar Batu,frasa biasa
Lempar Handuk,frasa biasa
Lepas Kontrol,frasa biasa
Lepas Tangan,frasa idiom
Lintah Darat,frasa idiom
Lupa Daratan,frasa idiom
Lupa Diri,frasa idiom
Lurus Hati,frasa idiom
Macan Ompong,frasa idiom
Main Mata,frasa idiom
Main Tangan,frasa biasa
Makan Angin,frasa idiom
Makan Hati,frasa idiom
Makan Tulang,frasa biasa
Makan Waktu,frasa idiom
Mata Hati,frasa idiom
Mata Mata,frasa idiom
Meja Hijau,frasa idiom
Memutar Otak,frasa idiom
Mengurut Dada,frasa idiom
Menusuk Hati,frasa idiom
Merah Padam,frasa idiom
Muka Dua,frasa idiom
Muka Masam,frasa idiom
Muka Tebal,frasa idiom
Muka Tembok,frasa idiom
Mulut Harimau,frasa idiom
Mulut Manis,frasa idiom
Murah Hati,frasa idiom
Naik Banding,frasa idiom
Naik Daun,frasa idiom
Naik Pitam,frasa idiom
Omong Kosong,frasa idiom
Orang Dalam,frasa idiom
Otak Encer,frasa idiom
Otak Miring,frasa idiom
Otak Udang,frasa idiom
Panas Tangan,frasa idiom
Pangku Tangan,frasa idiom
Panjang Akal,frasa idiom
Panjang Kaki,frasa biasa
Panjang Lidah,frasa idiom
Panjang Tangan,frasa idiom
Patah Arang,frasa idiom
Patah Hati,frasa idiom
Pecah Telur,frasa idiom
pejalan kaki,frasa biasa
Pikul Beban,frasa idiom
pilih bulu,frasa idiom
Rahasia Umum,frasa biasa
Rapuh Mulut,frasa idiom
Rendah Diri,frasa idiom
Rendah Hati,frasa idiom
Ringan Kaki,frasa idiom
Ringan Kepala,frasa idiom
Ringan Mulut,frasa idiom
Ringan Tangan,frasa idiom
Sahabat Pena,frasa biasa
Saksi Bisu,frasa idiom
Salah Langkah,frasa idiom
Salam Tempel,frasa biasa
Sapi Perahan,frasa idiom
Sapu Bersih,frasa idiom
Sebatang Kara,frasa idiom
Sebelah Mata,frasa biasa
Selayang Pandang,frasa biasa
Semata Wayang,frasa idiom
senyum kecut,frasa idiom
Setengah Hati,frasa idiom
Jago Merah,frasa idiom
Silat Lidah,frasa idiom
Suara Emas,frasa biasa
Suara Hati,frasa idiom
Tahan Banting,frasa idiom
Tangan Besi,frasa idiom
Tangan Dingin,frasa idiom
Tangan Hampa,frasa idiom
Tangan Hitam,frasa biasa
Tangan Kanan,frasa idiom
Tangan Terbuka,frasa idiom
Tebal Hati,frasa idiom
Tertangkap Basah,frasa idiom
Tikus Kantor,frasa idiom
Tinggi Hati,frasa idiom
Tukar Guling,frasa idiom
Tulang Punggung,frasa idiom
Tulang Rusuk,frasa biasa
Turun Tangan,frasa idiom
Tutup Mata,frasa idiom
Tutup Mulut,frasa idiom
Tutup Usia,frasa idiom
Uang Panas,frasa idiom
Ujung Tanduk,frasa idiom
Ujung Tombak,frasa idiom
Uluran Tangan,frasa idiom
Unjuk Gigi,frasa idiom
Kuda Hitam,frasa idiom
Isapan Jempol,frasa idiom
Sepatu baru,frasa biasa
Mobil merah,frasa biasa
Kepala sekolah,frasa biasa
teman lama,frasa biasa
kota bunga,frasa biasa
Cuaca dingin,frasa biasa
Bangunan tinggi,frasa biasa
Pelajaran pagi,frasa biasa
Minggu lalu,frasa biasa
kunci cadangan,frasa biasa
teras rumah,frasa biasa
tempat wisata,frasa biasa
pejalan kaki,frasa biasa
baju olahraga,frasa biasa
ilmu hitam,frasa idiom
jalan pikiran,frasa idiom
jam tangan,frasa biasa
membelai rambut,frasa biasa
memenangkan lomba,frasa biasa
menyapu jalan,frasa biasa
tidur siang,frasa biasa
rapat tahunan,frasa biasa
jual beli,frasa biasa
gerobak hitam,frasa biasa
belajar membaca,frasa biasa
sangat parah,frasa biasa
tengah malam,frasa biasa
besok pagi,frasa biasa
pulang pergi,frasa biasa
musim panen,frasa biasa
kambing jantan,frasa biasa
memukul korban,frasa biasa
memotong halus,frasa biasa
membelai lembut,frasa biasa
meraih juara,frasa biasa
pekerja kantor,frasa biasa
menimba air,frasa biasa
makanan ringan,frasa biasa
kuli bangunan,frasa biasa
menutup rapat,frasa biasa
membuka lebar,frasa biasa
sayur bayam,frasa biasa
mencuci tangan,frasa idiom
lengan panjang,frasa biasa
roti buaya,frasa biasa
rumah mewah,frasa biasa
anak bungsu,frasa biasa
murid baru,frasa biasa
pupil mata,frasa biasa
gadis kecil,frasa biasa
gaun biru,frasa biasa
kursi  tua,frasa biasa
sepeda rusak,frasa biasa
meja bulat,frasa biasa
pemuda malas,frasa biasa
topi hitam,frasa biasa
air hangat,frasa biasa
sepasang sandal,frasa biasa
sapi putih,frasa biasa
cuci tangan,frasa idiom
buku tulis,frasa biasa
mobil baru,frasa biasa
ayam putih,frasa biasa
pintu kayu,frasa biasa
baik hati,frasa idiom
anak ayam,frasa biasa
suka cita,frasa biasa
cincin emas,frasa biasa
rambut keriting,frasa biasa
baju hijau,frasa idiom
celana panjang,frasa biasa
pedagang kecil,frasa biasa
kamar mandi,frasa biasa
sendok makan,frasa biasa
bangku cadangan,frasa biasa
papan tulis,frasa biasa
pohon rindang,frasa biasa
nasi kuning,frasa biasa
gedung putih,frasa biasa
bendera putih,frasa biasa
benang merah,frasa idiom
jalan gelap,frasa idiom
harta benda,frasa biasa
kancing baju,frasa biasa
sepeda tua,frasa biasa
lemari kayu,frasa biasa
rumah beton,frasa biasa
sebatang pohon,frasa biasa
gunung tinggi,frasa biasa
hitam manis,frasa idiom
sepatu kaca,frasa biasa
meja batu,frasa biasa
kursi rotan,frasa biasa
kedai kopi,frasa biasa
buku cerita,frasa biasa
anak jalanan,frasa biasa
berjalan mundur,frasa biasa
pergi kerja,frasa biasa
naik kelas,frasa biasa
panjat tebing,frasa biasa
panas terik,frasa biasa
hitam kelam,frasa biasa
tanah subur,frasa biasa
hidung mancung,frasa biasa
nasib buruk,frasa biasa
gadis cantik,frasa biasa
orang tua,frasa biasa
rumput hijau,frasa biasa
angsa putih,frasa biasa
bawang merah,frasa biasa
awan mendung,frasa biasa
cuaca buruk,frasa biasa
bertutur kata,frasa biasa
bintang lapangan,frasa idiom
akal kancil,frasa idiom
besi tua,frasa idiom
membabi buta,frasa idiom
bergendang paha,frasa idiom
bau kencur,frasa idiom
berotak tajam,frasa idiom
daun muda,frasa idiom
jam karet,frasa idiom
juru kunci,frasa idiom
menjunjung tinggi,frasa biasa
menjilat bibir,frasa idiom
menjual muka,frasa idiom
menuntut ilmu,frasa biasa
berhati batu,frasa idiom
berkulit badak,frasa idiom
kartu mati,frasa idiom
mendarah daging,frasa idiom
mengangkat bahu,frasa idiom
mengasah otak,frasa idiom
menyerahkan diri,frasa biasa
patah tulang,frasa idiom
sapi perahan,frasa idiom
tebal muka,frasa idiom
berpikir panjang,frasa idiom
berubah pikiran,frasa idiom
bertukar hati,frasa idiom
bertukar jalan,frasa idiom
bertukar pikiran,frasa idiom
bebas tangan,frasa biasa
babi hutan,frasa biasa
bahan bakar,frasa biasa
bahan baku,frasa biasa
bahan organik,frasa biasa
bahan pakai,frasa biasa
bahan pakaian,frasa biasa
baju biru,frasa biasa
baju kaus,frasa biasa
baku hantam,frasa biasa
tikus berdasi,frasa idiom
tunas bangsa,frasa idiom
berlapang dada,frasa idiom
berkepala batu,frasa idiom
jendela dunia,frasa biasa
gudang ilmu,frasa idiom
harta karun,frasa idiom
sampah masyarakat,frasa idiom
dewi malam,frasa biasa
raja hutan,frasa biasa
bunga bangsa,frasa idiom
kambing hitam,frasa idiom
mati kutu,frasa idiom
tulang rusuk,frasa biasa
tanggal tua,frasa idiom
panjang lebar,frasa idiom
sebelah mata,frasa biasa
suara hati,frasa idiom
omong kosong,frasa idiom
cuci mata,frasa idiom
mata mata,frasa idiom
jalan tengah,frasa idiom
burung besi,frasa biasa
tangan hampa,frasa idiom
bermulut harimau,frasa idiom
bermuka masam,frasa idiom
bermental baja,frasa idiom
bunga bank,frasa idiom
adu domba,frasa idiom
ayam goreng,frasa biasa
